Country,Amount,Date,Year_Gross_Salary
Switzerland,"$6,302",2014,94526
Luxembourg,"$4,480",2014,67197
Zambia,"$4,331",2014,64965
Jersey,"$4,323",2014,64849
Bermuda,"$4,250",2014,63750
Norway,"$4,215",2014,63231
Monaco,"$4,143",2013,62142
Qatar,"$4,038",2014,60571
Gibraltar,"$3,991",2014,59860
Australia,"$3,781",2014,56710
Cayman Islands,"$3,313",2014,49695
Denmark,"$3,270",2014,49044
United States of America,"$3,259",2014,48883
British Virgin Islands,"$3,200",2014,48000
Sweden,"$3,181",2014,47717
United Arab Emirates,"$3,081",2014,46220
The Bahamas,"$3,025",2014,45375
Ireland,"$2,991",2014,44868
United Kingdom of Great Britain and Northern Ireland,"$2,961",2014,44408
Netherlands,"$2,938",2014,44064
Finland,"$2,924",2014,43862
Germany,"$2,852",2014,42778
Aruba,"$2,833",2014,42500
Japan,"$2,782",2014,41736
Canada,"$2,774",2014,41603
France,"$2,762",2014,41430
Singapore,"$2,759",2014,41391
Guam,"$2,750",2013,41250
Greenland,"$2,745",2013,41173
Andorra,"$2,731",2014,40967
New Zealand,"$2,693",2014,40396
Angola,"$2,650",2014,39750
Belgium,"$2,565",2014,38473
Hong Kong (S.A.R.),"$2,496",2014,37438
Guernsey,"$2,495",2014,37431
Faroe Islands,"$2,470",2014,37055
Austria,"$2,457",2014,36860
New Caledonia,"$2,425",2013,36380
Kuwait,"$2,237",2014,33551
Brunei,"$2,228",2014,33423
Iceland,"$2,176",2014,32642
South Korea,"$2,174",2014,32615
Italy,"$2,118",2014,31766
Oman,"$2,087",2014,31307
Reunion,"$1,912",2014,28677
Israel,"$1,875",2014,28119
Saudi Arabia,"$1,786",2014,26791
Gabon,"$1,704",2014,25562
Puerto Rico,"$1,704",2014,25553
Spain,"$1,635",2014,24527
Barbados,"$1,625",2014,24375
Cyprus,"$1,619",2014,24283
Malta,"$1,562",2014,23433
French Polynesia,"$1,502",2013,22532
Belize,"$1,441",2014,21615
South Africa,"$1,400",2014,21000
Mauritius,"$1,338",2014,20066
Taiwan,"$1,307",2014,19611
Slovenia,"$1,276",2014,19135
Grenada,"$1,250",2014,18750
Bahrain,"$1,227",2014,18402
Curacao,"$1,102",2013,16527
Malawi,"$1,099",2013,16485
Equatorial Guinea,"$1,088",2013,16313
Portugal,"$1,082",2014,16226
Jamaica,"$1,080",2014,16207
Czech Republic,"$1,020",2014,15307
Argentina,"$1,019",2014,15279
Lesotho,"$1,018",2014,15267
Malaysia,$980,2014,14694
Greece,$953,2014,14302
Chile,$950,2014,14243
Slovakia,$948,2014,14219
Lebanon,$937,2014,14057
Estonia,$915,2014,13725
Poland,$906,2014,13584
Croatia,$870,2014,13046
Uruguay,$863,2014,12939
Isle of Man,$831,2013,12471
Suriname,$808,2014,12120
Swaziland,$787,2014,11804
Costa Rica,$779,2014,11686
Panama,$770,2014,11553
Brazil,$758,2014,11369
Mozambique,$757,2014,11358
Turkey,$756,2014,11341
Nigeria,$732,2014,10975
China,$731,2014,10967
Mexico,$730,2014,10949
Trinidad and Tobago,$719,2014,10792
Latvia,$713,2014,10697
Haiti,$713,2014,10688
Fiji,$710,2014,10653
Lithuania,$701,2014,10519
Russia,$686,2014,10292
Hungary,$668,2014,10014
Sudan,$650,2014,9750
Libya,$644,2014,9661
Jordan,$637,2014,9555
Namibia,$633,2014,9495
Tanzania,$633,2014,9490
Maldives,$627,2014,9410
Kazakhstan,$614,2014,9214
Nicaragua,$593,2014,8888
Montenegro,$590,2014,8847
Iraq,$573,2014,8593
Guatemala,$571,2014,8562
Venezuela,$565,2014,8471
Bolivia,$564,2014,8463
Bosnia and Herzegovina,$562,2014,8437
Madagascar,$533,2014,8000
Botswana,$529,2014,7933
Azerbaijan,$525,2014,7873
Honduras,$523,2014,7843
Dominica,$514,2013,7708
Serbia,$507,2014,7606
Bulgaria,$507,2014,7601
Thailand,$503,2014,7542
Belarus,$502,2014,7533
Zimbabwe,$500,2014,7500
Peru,$492,2014,7382
Dominican Republic,$491,2014,7371
Romania,$487,2014,7306
Kenya,$481,2014,7218
Colombia,$475,2014,7120
Cameroon,$467,2014,7001
Mongolia,$465,2014,6973
Rwanda,$460,2014,6900
India,$452,2014,"$6,782"
Albania,$434,2014,6513
Paraguay,$426,2014,6384
Saint Lucia,$421,2014,6317
Morocco,$416,2014,6234
Mali,$400,2014,6000
Tunisia,$393,2014,5895
Republic of Macedonia,$387,2014,5803
Uganda,$380,2014,5697
Turkmenistan,$373,2013,5600
El Salvador,$365,2014,5475
Uzbekistan,$361,2014,5411
Ecuador,$359,2014,5389
Ukraine,$358,2014,5366
Sri Lanka,$353,2014,5289
Democratic Republic of the Congo,$352,2014,5277
Ghana,$351,2014,5268
Somalia,$350,2014,5250
Kyrgyzstan,$350,2014,5250
Algeria,$346,2014,5197
Bangladesh,$340,2014,5103
Viet Nam,$335,2014,5019
Philippines,$331,2014,4961
Armenia,$313,2014,4693
Indonesia,$304,2014,4564
Georgia,$299,2014,4491
Burma,$282,2014,4224
Laos,$281,2014,4220
Papua New Guinea,$274,2014,4112
Seychelles,$267,2014,4008
Egypt,$264,2014,3965
Burundi,$256,2013,3844
Syria,$252,2014,3776
Ethiopia,$249,2014,3735
Moldova,$244,2014,3661
Cambodia,$244,2014,3659
Pakistan,$239,2014,3590
Yemen,$229,2014,3435
Afghanistan,$214,2014,3204
Guyana,$209,2014,3140
Senegal,$200,2014,3000
Cape Verde,$191,2014,2868
Tajikistan,$187,2013,2809
Nepal,$166,2014,2497
Republic of Korea,$214,2014,$3204